Room,Door,Lead to,Logic,Status,Notes
Summit 24,Summit24CenterDoor,Summit16CenterDoor,"Summit24UpperLeft + (dodge + double_jump | wall_charge) + wall_grab 
| (Summit24CenterRight | Summit24HiddenRight) + WALL_DASH",Done,
Summit 24,Summit24CenterLeft,Summit27CenterRight," ((Summit24CenterDoor | Summit24CenterRight | Summit24HiddenRight) + ((double_jump + dodge | wall_charge) + wall_grab)
| Summit24UpperLeft) 
+ Summit27Upper_Lever",Done,
Summit 24,Summit24CenterRight,Summit25UpperLeft,"(Summit24CenterDoor | Summit24UpperLeft) + ((double_jump + dodge | wall_charge) + wall_grab)
| Summit24HiddenRight + (double_jump + wall_grab | high_jump)",Done,
Summit 24,Summit24HiddenRight,Summit25LowerLeft,"Summit24UpperLeft + (double_jump + dodge | wall_charge) + wall_grab
| Summit24CenterDoor + WALL_DASH
| Summit24CenterRight",Done,
Summit 24,Summit24LowerLeft,Summit27LowerRight,(Summit24UpperLeft | Summit24CenterRight | Summit24CenterDoor | Summit24HiddenRight) + WALL_DASH,Done,
Summit 24,Summit24LowerRight,Summit21Left,(Summit24CenterRight | Summit24UpperLeft | Summit24CenterDoor | Summit24HiddenRight) + WALL_DASH,Done,
Summit 24,Summit24UpperLeft,Summit27UpperRight,"(Summit24CenterDoor + (dodge + double_jump | wall_charge) + wall_grab
| (Summit24CenterRight | Summit24HiddenRight) + WALL_DASH ",Unsure,Not sure to count high_jump + dodge interaction from Center door
Summit 24,Summit24UpperRight,Summit26Left,(Summit24CenterRight + Summit25UpperLeft)  + (high_jump | double_jump) + WALL_DASH,Done,
Summit 25,Summit25Lower,Summit28Upper,Summit25LowerRight + (high_jump | (double_jump | dodge) + wall_grab)) + pile_attack,Done,
Summit 25,Summit25LowerLeft,Summit24HiddenRight,None,Done,
Summit 25,Summit25LowerRight,Summit22CenterLeft,None,Done,
Summit 25,Summit25UpperLeft,Summit24CenterRight,(Summit25LowerRight + Summit25Upper_Lever) + ((high_jump | double_jump) + wall_grab),Done,
Summit 25,Summit25UpperRight,Summit24CenterRight,(Summit25LowerRight + Summit25Right_Lever) + (high_jump | double_jump + wall_grab),Done,
Summit 25,Summit25Upper_Lever,,Summit25LowerRight + (high_jump | double_jump + dodge | wall_charge) + wall_grab,Done,
Summit 25,Summit25Right_Lever,,Summit25LowerRight + (high_jump | double_jump + wall_grab),Done,
Summit 26,Summit26CenterDoor,Summit30CenterDoor,Summit26Left,Done,
Summit 26,Summit26Left,Summit24UpperRight,Summit26CenterDoor,Done,
Summit 27,Summit27CenterRight,Summit24CenterLeft,(Summit27LowerRight + Summit27Upper_Lever) + (dive + (dodge | dash_underwater_charge)) | (double_jump + WALL_DASH),Done,
Summit 27,Summit27LowerRight,Summit24LowerLeft,None,Done,
Summit 27,Summit27UpperRight,Summit24UpperLeft,None,Done,
Summit 27,Summit27Upper_Lever,,Summit27LowerRight + (dive + (dodge | dash_underwater_charge)) | (double_jump + WALL_DASH),Done,
Summit 28,Summit28Upper,Summit25Lower,None,Done,
Summit 30,Summit30CenterDoor,Summit26CenterDoor,None,Done,
Swamp 1,Swamp01LowerLeft,Swamp02Upper,(Swamp01Upper | Swamp01LowerRight) + dive,Done,
Swamp 1,Swamp01LowerRight,Swamp20Upper,Swamp01Upper | (Swamp01LowerLeft + double_jump) ,Done,
Swamp 1,Swamp01Upper,Tower18Lower,"((Swamp01LowerRight + (double_jump | high_jump | wall_grab) 
| (Swamp01LowerLeft + double_jump))
+ dive)",Done,
Swamp 2,Swamp02Left,Swamp03Right,Swamp02Upper,Done,
Swamp 2,Swamp02Upper,Swamp01LowerLeft,Swamp02Left + dive,Done,
Swamp 3,Swamp03Left,Swamp04Right,Swamp03Right,Done,
Swamp 3,Swamp03Right,Swamp02Left,Swamp03Left,Done,
Swamp 4,Swamp04HiddenLeft,Swamp19Right,"((Swamp04Right | Swamp04Lower) + (double_jump | wall_grab) | (dive + dodge)) 
| (Swamp04Upper + (dodge | double_jump | wall_grab))",Done,
Swamp 4,Swamp04Lower,Swamp13Upper,(Swamp04Right | Swamp04HiddenLeft | Swamp04Upper) + dive,Done,
Swamp 4,Swamp04Right,Swamp03Left,Swamp04Lower | Swamp04Upper | Swamp04HiddenLeft,Done,
Swamp 4,Swamp04Upper,Swamp05Lower,(Swamp04Lower | Swamp04Upper | Swamp04HiddenLeft) + dive,Done,
Swamp 5,Swamp05Left,Swamp06Right,"((Swamp05Lower + (double_jump | high_jump)) 
| (Swamp05Right + (hook + wall_grab) | (double_jump | high_jump))
+ dive)",Done,
Swamp 5,Swamp05Lower,Swamp04Upper,"(Swamp05Right 
| (Swamp05Left + (double_jump | high_jump | wall_grab)) + dive)",Done,
Swamp 5,Swamp05Right,Swamp18Left,"(Swamp05Lower + (high_jump + (dodge + double_jump) | (hook + (dodge | double_jump)))) 
| (Swamp05Left + dive + (hook + (double_jump | ((high_jump | wall_grab) + dodge)) | (high_jump + dodge + double_jump)))",Done,
Swamp 6,Swamp06Lower,Swamp07Upper,Swamp06Right + (hook | (double_jump + dodge) | high_jump | pile_attack) + dive,Done,
Swamp 6,Swamp06Right,Swamp05Left,Swamp06Lower + (high_jump | double_jump) + dive,Done,
Swamp 7,Swamp07Lower,Swamp08Upper,Swamp07Upper + dive,Done,
Swamp 7,Swamp07Upper,Swamp06Lower,Swamp07Lower + dive,Done,
Swamp 8,Swamp08Lower,Swamp10UpperLeft,(Swamp08Upper | Swamp08Right) + dive,Done,
Swamp 8,Swamp08Right,Swamp09Left,Swamp08Upper + (dodge | double_jump | high_jump | WALL_DASH),Done,
Swamp 8,Swamp08Upper,Swamp07Lower,(Swamp08Right | Swamp08Lower) + dive,Done,
Swamp 9,Swamp09Left,Swamp08Right,(Swamp09Right | Swamp09Lower) + (double_jump | high_jump),Done,
Swamp 9,Swamp09Lower,Swamp10UpperRight,(Swamp09Right | Swamp09Left) + dive,Done,
Swamp 9,Swamp09Right,Swamp11UpperLeft,Swamp09Left | Swamp09Lower,Done,
Swamp 10,Swamp10Left,Roots25Right,((Swamp10UpperLeft | Swamp10Right | (Swamp10UpperRight + Swamp10Upper_Lever)) + TORRENT,Done,
Swamp 10,Swamp10Right,Swamp11LowerLeft,(Swamp10UpperLeft + dive) | (SwampLeft + TORRENT) | (Swamp10UpperRight + Swamp10Upper_Lever + dive),Done,
Swamp 10,Swamp10UpperLeft,Swamp08Lower,"((Swamp10Left + TORRENT) 
| (Swamp10Right | (Swamp10UpperRight + Swamp10Upper_Lever))
+ dive)",Done,
Swamp 10,Swamp10UpperRight,Swamp09Lower,"((Swamp10Left + TORRENT) 
| (Swamp10UpperLeft | (Swamp10UpperRight + Swamp10Upper_Lever))
+ dive)",Done,
Swamp10,Swamp10Upper_Lever,,"(Swamp10Left + TORRENT) 
| ((Swamp10UpperLeft | Swamp10Right) + dive)",Done,
Swamp 11,Swamp11Lower,Swamp14Upper,"(Swamp11Left | Swamp11Right) 
+ (Swamp11Left_Lever + Swamp11Right_Lever) 
+ pile_attack + dive",Done,
Swamp 11,Swamp11LowerLeft,Swamp10Right,None,Done,
Swamp 11,Swamp11LowerRight,Swamp12LowerLeft,None,Done,
Swamp 11,Swamp11UpperLeft,Swamp09Right,Swamp10UpperRight,Done,
Swamp 11,Swamp11UpperRight,Swamp12UpperLeft,Swamp10UpperLeft,Done,
Swamp 11,Swamp11Left_Lever,,"Swamp11LowerLeft 
+ (double_jump | wall_grab)",Done,
Swamp 11,Swamp11_Right_Lever,,Swamp11LowerRight,Done,
Swamp 12,Swamp12LowerLeft,Swamp12LowerLeft,"(Swamp12UpperLeft | Swamp12Upper) 
+ Swamp12Left_Lever ",Done,
Swamp 12,Swamp12Upper,Swamp13Lower,"Swamp12Left 
+ (double_jump | high_jump | (hook + dodge)) 
+ dive",Done,
Swamp 12,Swamp12UpperLeft,Swamp11UpperRight,Swamp12Upper,Done,
Swamp12,Swamp12Left_Lever,,"(Swamp12Left | Swamp12Upper) 
+ pile_attack",Done,
Swamp 13,Swamp13Lower,Swamp12Upper,"Swamp13Upper 
+ dive",Done,
Swamp 13,Swamp13Upper,Swamp04Lower,"Swamp13Lower 
+ dive",Done,
Swamp 14,Swamp14Right,Swamp15Left,Swamp14Upper ,Done,
Swamp 14,Swamp14Upper,Swamp11Lower,"Swamp14Right 
+ dive",Done,
Swamp 15,Swamp15Left,Swamp14Right,Swamp15Right,Done,
Swamp 15,Swamp15Right,Swamp16Left,Swamp15Left,Done,
Swamp 16,Swamp16Left,Swamp15Right,Swamp16Right,Done,
Swamp 16,Swamp16Right,Swamp17Left,"Swamp16Left 
+ hook + (double_jump | dodge)",Done,
Swamp 17,Swamp17Left,Swamp16Right,None,Done,
Swamp 18,Swamp18Left,Swamp05Right,Swamp18Upper,Done,
Swamp 18,Swamp18Upper,Sewer15Lower,"Swamp18Left 
+ (hook + (double_jump | (dodge + high_jump))) | (wall_grab + double_jump)",Done,
Swamp 19,Swamp19Right,Swamp04HiddenLeft,None,Done,
Swamp 20,Swamp20Upper,Swamp01LowerRight,None,Done,
Tower 1,Tower01CenterRight,Tower02CenterLeft,(Tower01Left + Tower01LowerRight + Tower01UpperRight) + Tower01CenterRight_Lever,Done,
Tower 1,Tower01Left,Street15Right,Tower01UpperRight | Tower01LowerRight | Tower01CenterRight,Done,
Tower 1,Tower01CenterRight_Lever,,Tower01CenterRight,Done,
Tower 1,Tower01LowerRight,Tower02LowerLeft,Tower01Left | Tower01UpperRight | Tower01CenterRight,Done,
Tower 1,Tower01UpperRight,Tower02UpperLeft,Tower01Left | Tower01CenterRight | Tower01LowerRight,Done,
Tower 2,Tower02CenterLeft,Tower01CenterRight,"(Tower02UpperRight | Tower02UpperLeft) + double_jump 
| (Tower02LowerLeft | Tower02LowerRight | Tower02Lower) + high_jump 
| Tower02CenterRight ",Done,
Tower 2,Tower02CenterRight,Tower03CenterLeft,"(Tower02UpperRight | Tower02UpperLeft) + double_jump 
| (Tower02LowerLeft | Tower02LowerRight | Tower02Lower) + high_jump 
| Tower02CenterLeft",Done,
Tower 2,Tower02Lower,Tower07Upper,(Tower02CenterLeft | Tower02LowerLeft | Tower02CenterRight | Tower02LowerRight | Tower02UpperRight | Tower02UpperLeft ),Done,
Tower 2,Tower02LowerLeft,Tower01LowerRight,(Tower02CenterLeft | Tower02Lower | Tower02CenterRight | Tower02LowerRight | Tower02UpperRight | Tower02UpperLeft ),Done,
Tower 2,Tower02LowerRight,Tower03LowerLeft,(Tower02CenterLeft | Tower02Lower | Tower02CenterRight | Tower02LowerLeft | Tower02UpperRight | Tower02UpperLeft ),Done,
Tower 2,Tower02UpperLeft,Tower01UpperRight,(Tower02CenterLeft | Tower02LowerLeft | Tower02CenterRight | Tower02LowerRight | Tower02Lower) + high_jump | Tower02UpperRight,Done,
Tower 2,Tower02UpperRight,Tower03UpperLeft,(Tower02CenterLeft | Tower02LowerLeft | Tower02CenterRight | Tower02LowerRight | Tower02Lower) + high_jump | Tower02UpperLeft,Done,
Tower 3,Tower03CenterLeft,Tower02CenterRight,(Tower03LowerLeft + (double_jump | high_jump)) | Tower03UpperLeft,Done,
Tower 3,Tower03LowerLeft,Tower02LowerRight,Tower03CenterLeft | Tower03UpperLeft,Done,
Tower 3,Tower03UpperLeft,Tower02UpperRight,(Tower03LowerLeft | Tower03CenterLeft) + (double_jump | high_jump),Done,
Tower 4,Tower04Lower,Tower05Upper,Tower04Upper,Done,
Tower 4,Tower04Upper,Tower07Lower,Tower04Lower + (double_jump | high_jump),Done,
Tower 5,Tower05Lower,Tower08Upper,Tower05Upper,Done,
Tower 5,Tower05Upper,Tower04Lower,Tower05Lower,Done,
Tower 6,Tower06Right,Tower18Left,None,Done,
Tower 7,Tower07Lower,Tower04Upper,Tower07Upper,Done,
Tower 7,Tower07Upper,Tower02Lower,Tower07Lower,Done,
Tower 8,Tower08Lower,Tower09Upper,Tower08Upper | Tower08Right,Done,
Tower 8,Tower08Right,Tower10UpperLeft,Tower08Upper | Tower08Lower,Done,
Tower 8,Tower08Upper,Tower05Lower,Tower08Right | Tower08Lower,Done,
Tower 9,Tower09CenterRight,Tower10CenterLowerLeft,Tower09UpperRight | (Tower09Upper | Tower09LowerRight | Tower09Lower + (double_jump | high_jump | dodge + wall_grab)),Done,
Tower 9,Tower09Lower,Tower11Upper,Tower09Upper | Tower09LowerRight | Tower09UpperRight | (Tower09CenterRight + (double_jump | high_jump | wall_grab)),Done,
Tower 9,Tower09LowerRight,Tower10LowerLeft,Tower09Upper | Tower09Lower | Tower09UpperRight | (Tower09CenterRight + (double_jump | high_jump | wall_grab)),Done,
Tower 9,Tower09Upper,Tower08Lower,Tower09Lower | Tower09LowerRight  | Tower09UpperRight | (Tower09CenterRight + double_jump),Done,
Tower 9,Tower09UpperRight,Tower10CenterUpperLeft,"((Tower09Upper | Tower09LowerRight | Tower09Lower | Tower09CenterRight) + (WALL_DASH + double_jump + dodge))
| ((Tower09Lower | Tower09LowerRight | Tower09CenterRight | Tower09Upper) + high_jump)",Done,
Tower 10,Tower10CenterLowerLeft,Tower09CenterRight,Tower10CenterUpperLeft,Done,
Tower 10,Tower10CenterUpperLeft,Tower09UpperRight,Tower10CenterLowerLeft + (high_jump | double_jump | wall_grab + dodge | WALL_DASH),Done,
Tower 10,Tower10LowerLeft,Tower09LowerRight,Tower10UpperLeft,Done,
Tower 10,Tower10UpperLeft,Tower08Right,Tower10LowerLeft + (high_jump | double_jump),Done,
Tower 11,Tower11HiddenLeft,Tower12Right,Tower11Lower | Tower11Upper,Done,
Tower 11,Tower11Lower,Tower13Upper,Tower11Upper,Done,
Tower 11,Tower11Upper,Tower09Lower,Tower11Lower,Done,
Tower 12,Tower12Right,Tower11HiddenLeft,None,Done,
Tower 13,Tower13Lower,Tower19Upper,Tower13Upper,Done,
Tower 13,Tower13Upper,Tower11Lower,Tower13Lower + (wall_grab | high_jump | double_jump),Done,
Tower 14,Tower14LowerLeft,Tower19LowerRight,Tower14UpperLeft | Tower14Right,Done,
Tower 14,Tower14Right,Tower15Left,Tower14UpperLeft | Tower14LowerLeft,Done,
Tower 14,Tower14UpperLeft,Tower19UpperRight,(Tower14LowerLeft | Tower14Right) + (high_jump | double_jump + WALL_DASH),Done,
Tower 15,Tower15Left,Tower14Right,Tower15Right,Done,
Tower 15,Tower15Right,Tower16Left,Tower15Left,Done,
Tower 16,Tower16Left,Tower15Right,Tower16Right,Done,
Tower 16,Tower16Right,Tower17Left,Tower16Left,Done,
Tower 17,Tower17Left,Tower16Right,Tower17Right,Done,
Tower 17,Tower17Right,Forest01Left,Tower17Left,Done,
Tower 18,Tower18HiddenLeft,Tower06Right,Tower18UpperRight | Tower18Lower | (Tower18LowerRight + (high_jump | double_jump + dodge)),Done,
Tower 18,Tower18Lower,Swamp01Upper,(Tower18HiddenLeft | Tower18UpperRight | (Tower18LowerRight + (high_jump | double_jump + dodge)) + swim,Done,
Tower 18,Tower18LowerRight,Tower19LowerLeft,(Tower18HiddenLeft + double_jump | Tower18UpperRight | (Tower18Lower + swim + double_jump),Done,
Tower 18,Tower18UpperRight,Tower19UpperLeft,(Tower18HiddenLeft | Tower18Lower) + double_jump | (Tower18LowerRight + (high_jump | double_jump + dodge)),Done,
Tower 19,Tower19LowerLeft,Tower18LowerRight,Tower19LowerRight | Tower19Upper | Tower19UpperLeft | Tower19UpperRight,Done,
Tower 19,Tower19LowerRight,Tower14LowerLeft,Tower19LowerLeft | Tower19Upper | Tower19UpperLeft | Tower19UpperRight,Done,
Tower 19,Tower19Upper,Tower13Lower,(Tower19LowerLeft | Tower19UpperRight | Tower19UpperLeft | Tower19LowerRight) + (double_jump | high_jump),Done,
Tower 19,Tower19UpperLeft,Tower18UpperRight,Tower19LowerLeft | Tower19Upper | Tower19UpperRight | Tower19LowerRight,Done,
Tower 19,Tower19UpperRight,Tower14UpperLeft,Tower19LowerLeft | Tower19Upper | Tower19UpperLeft | Tower19LowerRight,Done,
